DOEID,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD
1675,9,3,4,4,0,1950,0,0,0,1950,1300,650,0,0,0,0,0,0,1300,650,325,1950,0,0,0,0,0,0,0,1950,0,0,0,1,39,0,0,0,1,39,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,2,0,2,7340,555,26671,91001,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,8185,0,9358,8416,1602,17863,27411,35709,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,5000
1676,9,1,3,1,1,623,0,0,0,623,623,0,0,0,0,0,0,0,623,0,208,623,0,0,0,0,0,0,0,623,0,0,0,2,32,2,1,1,2,32,99,99,99,99,99,99,99,99,99,99,99,28,1,0,0,0,7,1,5,4766,1671,3884,13252,53.0,5454.0,705,97766,999999,9999999,999999,9999999,0,0,0,3873,2974,0,0,6405,5454.0,0.0,0.0,0,71239,26527,9999999,9999999,9999999,9999999
1677,9,3,5,4,1,1072,0,0,0,1072,1072,0,0,0,0,0,0,0,1072,0,214,1072,0,0,0,0,0,0,0,1072,0,0,1,1,27,0,1,0,6,27,24,8,5,2,99,99,99,99,99,99,99,1,1,0,0,1,10,0,1,6977,858,7833,26726,1369.0,140870.0,999999,9999999,999999,9999999,999999,9999999,0,0,0,6038,3092,0,0,17596,11881.0,37722.0,91267.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1678,9,3,3,4,0,2400,1200,0,400,800,800,1600,0,1200,0,400,0,0,800,0,800,2400,0,1200,0,400,0,0,0,800,0,0,0,1,37,2,0,0,3,37,37,99,99,99,99,99,99,99,99,99,99,5,1,0,0,0,11,0,2,6633,794,7791,26584,999999.0,9999999.0,857,118857,999999,9999999,999999,9999999,4014,0,4589,2673,1569,0,0,22342,9999999.0,9999999.0,9999999.0,0,86499,32358,9999999,9999999,9999999,9999999
1679,9,3,1,2,1,2699,651,651,0,1397,1397,1302,0,651,0,0,0,651,1397,0,0,2699,0,651,0,0,0,651,0,1397,0,0,0,1,54,2,0,0,2,54,99,99,99,99,99,99,99,99,99,99,99,23,1,0,0,0,11,0,3,7281,545,6986,23837,302.0,31076.0,667,92506,999999,9999999,999999,9999999,2661,0,0,4793,0,0,0,19044,6085.0,24991.0,0.0,0,92506,0,9999999,9999999,9999999,9999999
1680,9,2,1,2,1,756,0,0,0,756,756,0,0,0,0,0,0,0,756,0,151,756,0,0,0,0,0,0,0,756,0,0,0,2,59,2,1,0,2,59,99,99,99,99,99,99,99,99,99,99,99,56,1,0,0,0,10,0,2,5349,1102,10165,34683,795.0,81815.0,999999,9999999,999999,9999999,999999,9999999,3881,0,8873,1655,1526,0,0,31502,4504.0,18499.0,58812.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1681,9,1,4,3,0,956,0,0,0,956,956,0,0,0,0,0,0,0,956,0,956,0,0,0,0,0,0,0,956,0,0,0,1,2,47,1,1,1,3,47,54,99,99,99,99,99,99,99,99,99,99,47,0,0,0,0,8,0,5,932,4276,11998,40937,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,0,0,4118,2597,14548,10739,3141,9912,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1682,9,4,5,1,1,568,0,0,0,568,568,0,0,0,0,0,0,0,568,0,568,0,0,0,0,0,0,0,568,0,0,0,1,1,86,1,0,1,1,86,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,0,4,2,5,884,1202,2171,7407,169.0,17342.0,999999,9999999,999999,9999999,999999,9999999,0,0,0,1871,1482,0,1858,2196,5977.0,11365.0,0.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1683,9,3,3,4,0,1692,820,0,0,872,1671,21,800,21,0,0,0,0,872,0,338,1692,0,820,0,0,0,0,0,872,0,0,0,1,43,2,1,0,2,43,99,99,99,99,99,99,99,99,99,99,99,40,0,0,0,0,21,1,2,6816,758,7506,25610,999999.0,9999999.0,999999,9999999,249,22741,999999,9999999,2586,0,3749,2484,765,7983,0,14378,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,2082,20659,0,360000
1684,9,9,3,4,0,3432,0,1716,0,1716,1716,1716,0,0,0,0,0,1716,1716,0,0,3432,0,0,0,0,0,1716,0,1716,0,0,1,2,57,1,1,0,3,57,48,99,99,99,99,99,99,99,99,99,99,13,0,0,1,0,13,0,2,4352,317,15741,53708,999999.0,9999999.0,603,83567,999999,9999999,999999,9999999,5535,924,0,2361,0,14774,0,36573,9999999.0,9999999.0,9999999.0,0,83567,0,9999999,9999999,9999999,5000
1685,9,3,8,3,1,5180,2072,0,400,2708,4728,452,2020,52,0,400,0,0,2708,0,4780,452,2020,52,0,400,0,0,2708,0,0,0,0,1,34,2,1,0,5,34,35,34,8,99,99,99,99,99,99,99,99,3,1,0,0,0,19,0,2,5401,1314,12680,43264,1139.0,117203.0,999999,9999999,999999,9999999,999999,9999999,2776,464,0,9213,11112,0,0,22939,12673.0,37733.0,66797.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1686,9,3,3,2,1,621,0,0,0,621,621,0,0,0,0,0,0,0,621,0,207,621,0,0,0,0,0,0,0,621,0,0,1,1,93,1,0,0,1,93,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,7,1,5,6524,927,1873,6391,862.0,88669.0,999999,9999999,999999,9999999,999999,9999999,0,0,0,3102,1237,0,0,2052,0.0,8092.0,80577.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1687,3,1,2,1,1,2356,969,0,0,1387,1387,969,0,969,0,0,0,0,1387,0,942,2356,0,969,0,0,0,0,0,1387,0,0,0,2,36,2,0,0,1,36,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,14,0,3,3531,1786,7188,24525,480.0,49392.0,999999,9999999,999999,9999999,999999,9999999,3279,0,0,2998,7136,0,0,14391,0.0,17561.0,31831.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1688,9,3,5,1,1,1440,0,0,0,1440,1440,0,0,0,0,0,0,0,1440,0,0,1440,0,0,0,0,0,0,0,1440,0,0,0,1,54,2,0,0,1,54,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,9,2,1,2462,57,7417,25307,600.0,61766.0,999999,9999999,999999,9999999,999999,9999999,0,0,0,6279,0,0,0,19028,12704.0,20027.0,29035.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1689,9,2,8,2,0,1388,0,0,0,1388,0,1388,0,0,0,0,0,0,0,1388,572,815,0,0,0,0,0,0,572,815,0,0,0,1,21,0,0,0,5,21,21,21,21,99,99,99,99,99,99,99,99,21,1,0,0,0,4,0,5,5386,1068,14656,50006,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,3408,569,0,5385,2285,11744,6949,23643,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1690,9,3,4,4,0,4802,0,2401,0,2401,2401,2401,0,0,0,0,0,2401,2401,0,4802,2401,0,0,0,0,0,2401,2401,0,0,0,0,2,53,2,1,0,2,53,99,99,99,99,99,99,99,99,99,99,99,51,1,0,0,0,11,0,2,2146,2321,24053,82069,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,4546,759,5198,6390,17149,9908,5332,43290,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,20000
1691,9,1,13,1,1,600,0,0,0,600,600,0,0,0,0,0,0,0,600,0,600,0,0,0,0,0,0,0,600,0,0,0,0,1,24,2,1,0,1,24,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,7,0,5,3826,1814,6924,23625,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,2341,391,0,1995,4610,5109,4811,7100,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1692,9,1,4,2,1,2880,1440,0,0,1440,2880,0,1440,0,0,0,0,0,1440,0,2880,0,1440,0,0,0,0,0,1440,0,0,0,0,1,61,2,1,0,2,61,99,99,99,99,99,99,99,99,99,99,99,67,1,1,0,0,9,0,2,2086,2240,27232,92917,108.0,11107.0,999999,9999999,999999,9999999,999999,9999999,4778,798,10925,9590,21073,10413,8816,43025,0.0,0.0,11107.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1693,9,3,2,1,1,1407,0,0,0,1407,469,938,0,0,0,0,0,0,469,938,0,1407,0,0,0,0,0,0,0,1407,0,0,1,2,29,2,1,1,6,29,30,8,7,5,99,99,99,99,99,99,99,2,1,0,0,0,9,0,2,4161,416,13941,47567,999999.0,9999999.0,999999,9999999,999999,9999999,999999,9999999,4908,0,0,2199,0,16861,9970,18537,9999999.0,9999999.0,9999999.0,9999999,9999999,9999999,9999999,9999999,9999999,9999999
